"","time","gender","age","degree","country","light","shaq","fossil","kilo","mm","food","inseam","weather","electronCharge","earlyHuman","laser","continents","antibiotics","electronSize","earthCenter","religiousView","dailyLife","SciOnLife","SciEffect"
"65","3/27/2013 19:58:53","Female","18-22","High School or equivalent","United States","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"66","3/27/2013 20:07:18","Female","18-22","High School or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"I don't know","This person is tall","A winter coat","Neutron","FALSE","I do not know. ","TRUE","TRUE","FALSE","TRUE","Yes","TRUE","Not sure","Not sure"
"67","3/27/2013 20:12:17","Female","18-22","High School or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.0145,"Dis-agree","This person is short","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","Maybe","TRUE","FALSE"
"68","3/27/2013 20:20:15","Female","18-22","High School or equivalent","United States","TRUE","No","I don't know","1000 x",1.45,"Dis-agree","This person is short","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","TRUE","True ","TRUE","Yes","Neutral","FALSE","Not sure"
"69","3/27/2013 20:22:25","Female","18-22","Bachelor Degree in Arts or equivalent","United States","TRUE","Yes","6 million and 5 years old","10 x",1.45,"Agree","I don't know","I don't know","Electricity ","TRUE","FALSE","FALSE","TRUE","I do no know. ","I do not know.","Yes","Neutral","TRUE","TRUE"
"70","3/27/2013 20:36:51","Female","31-40","Bachelor Degree in Science or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is tall","A Short sleeve shirt","Positive charge","FALSE","TRUE","TRUE","FALSE","True ","TRUE","No","TRUE","TRUE","TRUE"
"71","3/27/2013 21:15:36","Female","18-22","Bachelor Degree in Science or equivalent","United States","TRUE","No","6 million and 5 years old","1000 x",1.45,"I don't know","I don't know","A light jacket","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","TRUE"
"72","3/27/2013 21:19:55","Female","18-22","High School or equivalent","United States","TRUE","Yes",NA,"100 x",0.0145,"I don't know","This person is tall","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","Neutral","TRUE","FALSE"
"73","3/27/2013 21:43:03","Female","18-22","High School or equivalent","United States","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"I don't know","This person is short","A Short sleeve shirt","Positive charge","TRUE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","Not sure"
"74","3/27/2013 21:43:45","Female","18-22","High School or equivalent","Rwanda","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is tall","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","TRUE"
"75","3/27/2013 21:43:54","Female","18-22","Bachelor Degree in Arts or equivalent","United States","TRUE","No","6 million and 5 years old","5 x",0.145,"I don't know","This person is short","A light jacket","Positive charge","I do not know.","FALSE","TRUE","TRUE","True ","TRUE","Yes","Neutral","TRUE","FALSE"
"76","3/27/2013 22:33:37","Female","23-30","High School or equivalent","United States","TRUE","Yes","I don't know","1000 x",1.45,"Agree","I don't know","I don't know","Neutron","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","No","FALSE","FALSE","FALSE"
"77","3/27/2013 22:36:12","Female","18-22","High School or equivalent","United States","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A light jacket","Positive charge","TRUE","TRUE","TRUE","TRUE","True ","TRUE","Yes","FALSE","Not sure","Not sure"
"78","3/28/2013 0:57:41","Female","18-22","High School or equivalent","United States","TRUE","No","Still about 6 million years old.","1000 x",0.145,"Agree","This person is tall","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","FALSE"
"79","3/28/2013 1:22:43","Female","18-22","Bachelor Degree in Arts or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",0.0145,"Agree","I don't know","A winter coat","Positive charge","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","No","FALSE","TRUE","Not sure"
"80","3/28/2013 1:41:10","Female","18-22","High School or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"I don't know","I don't know","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","I do not know.","I do no know. ","TRUE","Yes","FALSE","FALSE","Not sure"
"81","3/28/2013 1:49:32","Female","18-22","High School or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",1.45,"Dis-agree","I don't know","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","Maybe","TRUE","Not sure"
"82","3/28/2013 2:15:08","Female","41-50","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.0145,"Dis-agree","This person is short","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","Neutral","FALSE","Not sure"
"83","3/28/2013 2:16:47","Female","23-30","Bachelor Degree in Arts or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",0.145,"Dis-agree","I don't know","I don't know","Negative charge","FALSE","I do not know. ","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","FALSE"
"84","3/28/2013 4:19:13","Male","56-60","Ph.D. or equivalent","United States","Wrong","No","6 million and 5 years old","1000 x",0.145,"Agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","Not sure"
"85","3/28/2013 5:37:24","Female","31-40","High School or equivalent","United States","I don't know.","I don't know.","Still about 6 million years old.","1000 x",1.45,"Agree","This person is short","A Short sleeve shirt","Negative charge","FALSE","I do not know. ","TRUE","FALSE","True ","TRUE","No","Maybe","TRUE","TRUE"
"86","3/28/2013 5:37:49","Female","18-22","High School or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",0.0145,"I don't know","This person is short","A winter coat","Neutron","FALSE","I do not know. ","TRUE","FALSE","FALSE","TRUE","Yes","Neutral","TRUE","TRUE"
"87","3/28/2013 6:01:51","Female","18-22","High School or equivalent","United States","I don't know.","Yes","Still about 6 million years old.","10 x",1.45,"Agree","I don't know","A Short sleeve shirt","Neutron","TRUE","I do not know. ","TRUE","TRUE","FALSE","FALSE","Yes","Neutral","TRUE","Not sure"
"88","3/28/2013 6:03:21","Do not wish to answer","56-60","Ph.D. or equivalent",NA,"TRUE","I don't know.","Still about 6 million years old.",NA,NA,"Dis-agree","I don't know","A Short sleeve shirt","Neutron","FALSE","FALSE","TRUE","TRUE","True ","TRUE",NA,"TRUE","TRUE","Not sure"
"89","3/28/2013 6:55:25","Female","18-22","High School or equivalent","Rwanda","TRUE","Yes","Still about 6 million years old.","1000 x",1.45,"Agree","This person is short","A Short sleeve shirt","Positive charge","TRUE","I do not know. ","I do not know. ","TRUE","True ","I do not know.","Yes","FALSE","TRUE","Not sure"
"90","3/28/2013 6:57:09","Female","31-40","Ph.D. or equivalent","United States","Wrong","No","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","FALSE"
"91","3/28/2013 7:09:19","Female","23-30","Master Degree or equivalent","United States","TRUE","Yes","I don't know","1000 x",0.0145,"I don't know","I don't know","I don't know","Negative charge","FALSE","I do not know. ","I do not know. ","TRUE","FALSE","TRUE","Yes","Neutral","TRUE","TRUE"
"92","3/28/2013 7:15:53","Female","23-30","Bachelor Degree in Arts or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","I do not know.","True ","TRUE","Yes","FALSE","TRUE","TRUE"
"93","3/28/2013 7:25:59","Female","18-22","High School or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"I don't know","This person is short","A winter coat","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","Not sure"
"94","3/28/2013 7:29:47","Female","More than 60 years old","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A light jacket","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"95","3/28/2013 7:43:26","Female","51-55","Ph.D. or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"96","3/28/2013 7:44:15","Male","23-30","High School or equivalent","United States","TRUE","Yes","Still about 6 million years old.","100 x",1.45,"Dis-agree","This person is short","A Short sleeve shirt","Neutron","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","No","FALSE","TRUE","Not sure"
"97","3/28/2013 7:45:17","Female","More than 60 years old","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.0145,"I don't know","This person is short","A light jacket","Positive charge","TRUE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","Not sure","FALSE"
"98","3/28/2013 7:53:09","Female","23-30","Bachelor Degree in Arts or equivalent","United States","Wrong","No","6 million and 5 years old","1000 x",1.45,"I don't know","This person is short","A light jacket","Neutron","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","TRUE","TRUE","TRUE"
"99","3/28/2013 8:05:44","Female","18-22","High School or equivalent","Ghana","TRUE","I don't know.","I don't know","1000 x",0.145,"I don't know","I don't know","I don't know","Positive charge","I do not know.","I do not know. ","TRUE","TRUE","I do no know. ","TRUE","No","Neutral","TRUE","Not sure"
"100","3/28/2013 8:09:49","Female","23-30","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","TRUE"
"101","3/28/2013 8:09:51","Female","18-22","Bachelor Degree in Science or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",0.145,"I don't know","I don't know","A light jacket","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","Not sure"
"102","3/28/2013 8:12:38","Male","51-55","Ph.D. or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","I do not know","FALSE","TRUE","TRUE"
"103","3/28/2013 8:28:19","Female","18-22","Bachelor Degree in Science or equivalent","Guyana","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","Not sure","Not sure"
"104","3/28/2013 9:07:03","Male","56-60","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",NA,"Dis-agree","This person is tall","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","FALSE"
"105","3/28/2013 9:07:04","Female","41-50","Master Degree or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",0.145,"I don't know","This person is short","A Short sleeve shirt","Neutron","TRUE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","FALSE"
"106","3/28/2013 9:11:46","Female","More than 60 years old","Ph.D. or equivalent","United States","Wrong","No","6 million and 5 years old","100 x",0.0145,"I don't know",NA,"I don't know","Neutron","TRUE","FALSE","TRUE","TRUE","True ","TRUE","Yes","FALSE","TRUE","FALSE"
"107","3/28/2013 9:46:50","Female","18-22","Bachelor Degree in Science or equivalent","United States","TRUE","Yes","I don't know","1000 x",0.145,"I don't know","I don't know","A winter coat","Positive charge","FALSE","I do not know. ","TRUE","FALSE","True ","TRUE","I do not know","FALSE","TRUE","FALSE"
"108","3/28/2013 9:49:48","Female","18-22","Bachelor Degree in Science or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","TRUE","I do not know. ","TRUE","TRUE","True ","TRUE","No","FALSE","TRUE","TRUE"
"109","3/28/2013 9:52:41","Female","18-22","Bachelor Degree in Science or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",0.145,"Agree","This person is tall","A Short sleeve shirt","Positive charge","TRUE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","Not sure"
"110","3/28/2013 9:55:38","Female","41-50","Master Degree or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",1.45,"Dis-agree","This person is tall","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","I do no know. ","TRUE","No","FALSE","TRUE","TRUE"
"111","3/28/2013 11:29:07","Male","More than 60 years old","Ph.D. or equivalent","United States","Wrong","Yes","6 million and 5 years old","100 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","Not sure","TRUE"
"112","3/28/2013 11:44:43","Male","56-60","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","Not sure","Not sure"
"113","3/28/2013 11:54:38","Male","51-55","Ph.D. or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","I do not know","FALSE","TRUE","TRUE"
"114","3/28/2013 12:25:10","Female","18-22","Ph.D. or equivalent","Senegal","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"I don't know","I don't know","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","TRUE","True ","TRUE","No","FALSE","TRUE","FALSE"
"115","3/28/2013 13:14:43","Male","18-22","Bachelor Degree in Arts or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","TRUE","TRUE","TRUE"
"116","3/28/2013 14:05:34","Male","41-50","Master Degree or equivalent","United Kingdom","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A winter coat","Positive charge","I do not know.","I do not know. ","TRUE","FALSE","FALSE","TRUE","No","Neutral","TRUE","TRUE"
"117","3/28/2013 14:18:56","Female","23-30","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"118","3/28/2013 17:24:58","Female","18-22","Bachelor Degree in Arts or equivalent","United States","TRUE","No","Still about 6 million years old.","100 x",145000,"Agree","This person is short","A Short sleeve shirt","Electricity ","FALSE","TRUE","TRUE","TRUE","True ","TRUE","No","Maybe","FALSE","FALSE"
"119","3/28/2013 17:46:15","Male","51-55","Ph.D. or equivalent","United States","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"120","3/28/2013 23:28:48","Male","More than 60 years old","Master Degree or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"121","3/28/2013 23:32:47","Male","41-50","Master Degree or equivalent","United States","TRUE","I don't know.","I don't know","1000 x",0.145,"Dis-agree","I don't know","I don't know","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","I do not know","FALSE","TRUE","Not sure"
"122","3/29/2013 3:18:36","Male","More than 60 years old","Bachelor Degree in Science or equivalent","France","Wrong","Yes","Still about 6 million years old.","1000 x",0.145,"I don't know","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","FALSE","No","FALSE","TRUE","TRUE"
"123","3/29/2013 4:39:40","Male","More than 60 years old","Master Degree or equivalent","South Africa","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","I do not know","FALSE","TRUE","Not sure"
"124","3/29/2013 5:31:58","Male","More than 60 years old","Master Degree or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"125","3/29/2013 5:42:30","Male","31-40","M.D. or equivalent","Poland","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"126","3/29/2013 6:10:55","Male","More than 60 years old","High School or equivalent","Kenya","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Agree","This person is short","A Short sleeve shirt","Neutron","FALSE","FALSE","TRUE","FALSE","I do no know. ","TRUE","No","FALSE","TRUE","TRUE"
"127","3/29/2013 6:34:41","Male","31-40","High School or equivalent","United States","TRUE","I don't know.","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","TRUE"
"128","3/29/2013 7:08:44","Male","31-40","Bachelor Degree in Science or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","TRUE"
"129","3/29/2013 7:22:27","Male","56-60","High School or equivalent","Kenya","Wrong","Yes","6 million and 5 years old","100 x",0.145,"Agree","This person is short","A Short sleeve shirt","Neutron","FALSE","FALSE","TRUE","FALSE","I do no know. ","TRUE","No","FALSE","TRUE","TRUE"
"130","3/29/2013 8:14:17","Male","56-60","Bachelor Degree in Science or equivalent","South Africa","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
